id,english,language_A,language_B,language_C,language_D,language_E
261,You saw the house in the city yesterday.,sena ta tun luma toto na kano,ta ki luma toto sha kano sena,otluma toto nim kano sena,luma-tu-si toto kano-ne sena,tatotokanonilumasesena
262,You see the city.,ta luma kano,ta luma kano,tiluma kano,luma-tu kano,takanoluma
263,You will see the city tomorrow.,fila ta vek luma kano,ta zo luma kano fila,elluma kano fila,luma-tu-ra kano fila,takanolumarufila
264,You saw the city yesterday.,sena ta tun luma kano,ta ki luma kano sena,otluma kano sena,luma-tu-si kano sena,takanolumasesena
265,You see the cities.,ta luma kano nul,ta luma enu kano,tiluma kanoesh,luma-tu kano-min,takanoitluma
266,You will see the cities tomorrow.,fila ta vek luma kano nul,ta zo luma enu kano fila,elluma kanoesh fila,luma-tu-ra kano-min fila,takanoitlumarufila
267,You saw the cities yesterday.,sena ta tun luma kano nul,ta ki luma enu kano sena,otluma kanoesh sena,luma-tu-si kano-min sena,takanoitlumasesena
268,You see the city in the house.,ta luma kano na toto,ta luma kano sha toto,tiluma kano nim toto,luma-tu kano toto-ne,takanototoniluma
269,You will see the city in the house tomorrow.,fila ta vek luma kano na toto,ta zo luma kano sha toto fila,elluma kano nim toto fila,luma-tu-ra kano toto-ne fila,takanototonilumarufila
270,You saw the city in the house yesterday.,sena ta tun luma kano na toto,ta ki luma kano sha toto sena,otluma kano nim toto sena,luma-tu-si kano toto-ne sena,takanototonilumasesena
271,You see the person.,ta luma mira,ta luma mira,tiluma mira,luma-tu mira,tamiraluma
272,You will see the person tomorrow.,fila ta vek luma mira,ta zo luma mira fila,elluma mira fila,luma-tu-ra mira fila,tamiralumarufila
273,You saw the person yesterday.,sena ta tun luma mira,ta ki luma mira sena,otluma mira sena,luma-tu-si mira sena,tamiralumasesena
274,You see the people.,ta luma mira nul,ta luma enu mira,tiluma miraai,luma-tu mira-min,tamiraitluma
275,You will see the people tomorrow.,fila ta vek luma mira nul,ta zo luma enu mira fila,elluma miraai fila,luma-tu-ra mira-min fila,tamiraitlumarufila
276,You saw the people yesterday.,sena ta tun luma mira nul,ta ki luma enu mira sena,otluma miraai sena,luma-tu-si mira-min sena,tamiraitlumasesena
277,You see the person in the city.,ta luma mira na kano,ta luma mira sha kano,tiluma mira nim kano,luma-tu mira kano-ne,tamirakanoniluma
278,You will see the person in the city tomorrow.,fila ta vek luma mira na kano,ta zo luma mira sha kano fila,elluma mira nim kano fila,luma-tu-ra mira kano-ne fila,tamirakanonilumarufila
279,You saw the person in the city yesterday.,sena ta tun luma mira na kano,ta ki luma mira sha kano sena,otluma mira nim kano sena,luma-tu-si mira kano-ne sena,tamirakanonilumasesena
280,You see the person in the house.,ta luma mira na toto,ta luma mira sha toto,tiluma mira nim toto,luma-tu mira toto-ne,tamiratotoniluma
281,You will see the person in the house tomorrow.,fila ta vek luma mira na toto,ta zo luma mira sha toto fila,elluma mira nim toto fila,luma-tu-ra mira toto-ne fila,tamiratotonilumarufila
282,You saw the person in the house yesterday.,sena ta tun luma mira na toto,ta ki luma mira sha toto sena,otluma mira nim toto sena,luma-tu-si mira toto-ne sena,tamiratotonilumasesena
283,You see the people in the city.,ta luma mira nul na kano,ta luma enu mira sha kano,tiluma miraai nim kano,luma-tu mira-min kano-ne,tamiraitkanoniluma
284,You will see the people in the city tomorrow.,fila ta vek luma mira nul na kano,ta zo luma enu mira sha kano fila,elluma miraai nim kano fila,luma-tu-ra mira-min kano-ne fila,tamiraitkanonilumarufila
285,You saw the people in the city yesterday.,sena ta tun luma mira nul na kano,ta ki luma enu mira sha kano sena,otluma miraai nim kano sena,luma-tu-si mira-min kano-ne sena,tamiraitkanonilumasesena
286,You see the people in the house.,ta luma mira nul na toto,ta luma enu mira sha toto,tiluma miraai nim toto,luma-tu mira-min toto-ne,tamiraittotoniluma
287,You will see the people in the house tomorrow.,fila ta vek luma mira nul na toto,ta zo luma enu mira sha toto fila,elluma miraai nim toto fila,luma-tu-ra mira-min toto-ne fila,tamiraittotonilumarufila
288,You saw the people in the house yesterday.,sena ta tun luma mira nul na toto,ta ki luma enu mira sha toto sena,otluma miraai nim toto sena,luma-tu-si mira-min toto-ne sena,tamiraittotonilumasesena
289,You see the tree.,ta luma saki,ta luma saki,tiluma saki,luma-tu saki,tasakiluma
290,You will see the tree tomorrow.,fila ta vek luma saki,ta zo luma saki fila,elluma saki fila,luma-tu-ra saki fila,tasakilumarufila
291,You saw the tree yesterday.,sena ta tun luma saki,ta ki luma saki sena,otluma saki sena,luma-tu-si saki sena,tasakilumasesena
292,You see the trees.,ta luma saki nul,ta luma enu saki,tiluma sakiok,luma-tu saki-min,tasakiitluma
293,You will see the trees tomorrow.,fila ta vek luma saki nul,ta zo luma enu saki fila,elluma sakiok fila,luma-tu-ra saki-min fila,tasakiitlumarufila
294,You saw the trees yesterday.,sena ta tun luma saki nul,ta ki luma enu saki sena,otluma sakiok sena,luma-tu-si saki-min sena,tasakiitlumasesena
295,You see the tree in the city.,ta luma saki na kano,ta luma saki sha kano,tiluma saki nim kano,luma-tu saki kano-ne,tasakikanoniluma
296,You will see the tree in the city tomorrow.,fila ta vek luma saki na kano,ta zo luma saki sha kano fila,elluma saki nim kano fila,luma-tu-ra saki kano-ne fila,tasakikanonilumarufila
297,You saw the tree in the city yesterday.,sena ta tun luma saki na kano,ta ki luma saki sha kano sena,otluma saki nim kano sena,luma-tu-si saki kano-ne sena,tasakikanonilumasesena
298,You see the tree in the house.,ta luma saki na toto,ta luma saki sha toto,tiluma saki nim toto,luma-tu saki toto-ne,tasakitotoniluma
299,You will see the tree in the house tomorrow.,fila ta vek luma saki na toto,ta zo luma saki sha toto fila,elluma saki nim toto fila,luma-tu-ra saki toto-ne fila,tasakitotonilumarufila
300,You saw the tree in the house yesterday.,sena ta tun luma saki na toto,ta ki luma saki sha toto sena,otluma saki nim toto sena,luma-tu-si saki toto-ne sena,tasakitotonilumasesena
301,You see the trees in the city.,ta luma saki nul na kano,ta luma enu saki sha kano,tiluma sakiok nim kano,luma-tu saki-min kano-ne,tasakiitkanoniluma
302,You will see the trees in the city tomorrow.,fila ta vek luma saki nul na kano,ta zo luma enu saki sha kano fila,elluma sakiok nim kano fila,luma-tu-ra saki-min kano-ne fila,tasakiitkanonilumarufila
303,You saw the trees in the city yesterday.,sena ta tun luma saki nul na kano,ta ki luma enu saki sha kano sena,otluma sakiok nim kano sena,luma-tu-si saki-min kano-ne sena,tasakiitkanonilumasesena
304,You see the trees in the house.,ta luma saki nul na toto,ta luma enu saki sha toto,tiluma sakiok nim toto,luma-tu saki-min toto-ne,tasakiittotoniluma
305,You will see the trees in the house tomorrow.,fila ta vek luma saki nul na toto,ta zo luma enu saki sha toto fila,elluma sakiok nim toto fila,luma-tu-ra saki-min toto-ne fila,tasakiittotonilumarufila
306,You saw the trees in the house yesterday.,sena ta tun luma saki nul na toto,ta ki luma enu saki sha toto sena,otluma sakiok nim toto sena,luma-tu-si saki-min toto-ne sena,tasakiittotonilumasesena
307,He sees the house.,lo luma toto,lo luma toto,naluma toto,luma-li toto,lototoluma
308,He will see the house tomorrow.,fila lo vek luma toto,lo zo luma toto fila,orluma toto fila,luma-li-ra toto fila,lototolumarufila
309,He saw the house yesterday.,sena lo tun luma toto,lo ki luma toto sena,evluma toto sena,luma-li-si toto sena,lototolumasesena
310,He sees the houses.,lo luma toto nul,lo luma enu toto,naluma totoum,luma-li toto-min,lototoitluma
311,He will see the houses tomorrow.,fila lo vek luma toto nul,lo zo luma enu toto fila,orluma totoum fila,luma-li-ra toto-min fila,lototoitlumarufila
312,He saw the houses yesterday.,sena lo tun luma toto nul,lo ki luma enu toto sena,evluma totoum sena,luma-li-si toto-min sena,lototoitlumasesena
313,He sees the house in the city.,lo luma toto na kano,lo luma toto sha kano,naluma toto nim kano,luma-li toto kano-ne,lototokanoniluma
314,He will see the house in the city tomorrow.,fila lo vek luma toto na kano,lo zo luma toto sha kano fila,orluma toto nim kano fila,luma-li-ra toto kano-ne fila,lototokanonilumarufila
315,He saw the house in the city yesterday.,sena lo tun luma toto na kano,lo ki luma toto sha kano sena,evluma toto nim kano sena,luma-li-si toto kano-ne sena,lototokanonilumasesena
316,He sees the city.,lo luma kano,lo luma kano,naluma kano,luma-li kano,lokanoluma
317,He will see the city tomorrow.,fila lo vek luma kano,lo zo luma kano fila,orluma kano fila,luma-li-ra kano fila,lokanolumarufila
318,He saw the city yesterday.,sena lo tun luma kano,lo ki luma kano sena,evluma kano sena,luma-li-si kano sena,lokanolumasesena
319,He sees the cities.,lo luma kano nul,lo luma enu kano,naluma kanoesh,luma-li kano-min,lokanoitluma
320,He will see the cities tomorrow.,fila lo vek luma kano nul,lo zo luma enu kano fila,orluma kanoesh fila,luma-li-ra kano-min fila,lokanoitlumarufila
321,He saw the cities yesterday.,sena lo tun luma kano nul,lo ki luma enu kano sena,evluma kanoesh sena,luma-li-si kano-min sena,lokanoitlumasesena
322,He sees the city in the house.,lo luma kano na toto,lo luma kano sha toto,naluma kano nim toto,luma-li kano toto-ne,lokanototoniluma
323,He will see the city in the house tomorrow.,fila lo vek luma kano na toto,lo zo luma kano sha toto fila,orluma kano nim toto fila,luma-li-ra kano toto-ne fila,lokanototonilumarufila
324,He saw the city in the house yesterday.,sena lo tun luma kano na toto,lo ki luma kano sha toto sena,evluma kano nim toto sena,luma-li-si kano toto-ne sena,lokanototonilumasesena
325,He sees the person.,lo luma mira,lo luma mira,naluma mira,luma-li mira,lomiraluma
326,He will see the person tomorrow.,fila lo vek luma mira,lo zo luma mira fila,orluma mira fila,luma-li-ra mira fila,lomiralumarufila
327,He saw the person yesterday.,sena lo tun luma mira,lo ki luma mira sena,evluma mira sena,luma-li-si mira sena,lomiralumasesena
328,He sees the people.,lo luma mira nul,lo luma enu mira,naluma miraai,luma-li mira-min,lomiraitluma
329,He will see the people tomorrow.,fila lo vek luma mira nul,lo zo luma enu mira fila,orluma miraai fila,luma-li-ra mira-min fila,lomiraitlumarufila
330,He saw the people yesterday.,sena lo tun luma mira nul,lo ki luma enu mira sena,evluma miraai sena,luma-li-si mira-min sena,lomiraitlumasesena
331,He sees the person in the city.,lo luma mira na kano,lo luma mira sha kano,naluma mira nim kano,luma-li mira kano-ne,lomirakanoniluma
332,He will see the person in the city tomorrow.,fila lo vek luma mira na kano,lo zo luma mira sha kano fila,orluma mira nim kano fila,luma-li-ra mira kano-ne fila,lomirakanonilumarufila
333,He saw the person in the city yesterday.,sena lo tun luma mira na kano,lo ki luma mira sha kano sena,evluma mira nim kano sena,luma-li-si mira kano-ne sena,lomirakanonilumasesena
334,He sees the person in the house.,lo luma mira na toto,lo luma mira sha toto,naluma mira nim toto,luma-li mira toto-ne,lomiratotoniluma
335,He will see the person in the house tomorrow.,fila lo vek luma mira na toto,lo zo luma mira sha toto fila,orluma mira nim toto fila,luma-li-ra mira toto-ne fila,lomiratotonilumarufila
336,He saw the person in the house yesterday.,sena lo tun luma mira na toto,lo ki luma mira sha toto sena,evluma mira nim toto sena,luma-li-si mira toto-ne sena,lomiratotonilumasesena
337,He sees the people in the city.,lo luma mira nul na kano,lo luma enu mira sha kano,naluma miraai nim kano,luma-li mira-min kano-ne,lomiraitkanoniluma
338,He will see the people in the city tomorrow.,fila lo vek luma mira nul na kano,lo zo luma enu mira sha kano fila,orluma miraai nim kano fila,luma-li-ra mira-min kano-ne fila,lomiraitkanonilumarufila
339,He saw the people in the city yesterday.,sena lo tun luma mira nul na kano,lo ki luma enu mira sha kano sena,evluma miraai nim kano sena,luma-li-si mira-min kano-ne sena,lomiraitkanonilumasesena
340,He sees the people in the house.,lo luma mira nul na toto,lo luma enu mira sha toto,naluma miraai nim toto,luma-li mira-min toto-ne,lomiraittotoniluma
341,He will see the people in the house tomorrow.,fila lo vek luma mira nul na toto,lo zo luma enu mira sha toto fila,orluma miraai nim toto fila,luma-li-ra mira-min toto-ne fila,lomiraittotonilumarufila
342,He saw the people in the house yesterday.,sena lo tun luma mira nul na toto,lo ki luma enu mira sha toto sena,evluma miraai nim toto sena,luma-li-si mira-min toto-ne sena,lomiraittotonilumasesena
343,He sees the tree.,lo luma saki,lo luma saki,naluma saki,luma-li saki,losakiluma
344,He will see the tree tomorrow.,fila lo vek luma saki,lo zo luma saki fila,orluma saki fila,luma-li-ra saki fila,losakilumarufila
345,He saw the tree yesterday.,sena lo tun luma saki,lo ki luma saki sena,evluma saki sena,luma-li-si saki sena,losakilumasesena
346,He sees the trees.,lo luma saki nul,lo luma enu saki,naluma sakiok,luma-li saki-min,losakiitluma
347,He will see the trees tomorrow.,fila lo vek luma saki nul,lo zo luma enu saki fila,orluma sakiok fila,luma-li-ra saki-min fila,losakiitlumarufila
348,He saw the trees yesterday.,sena lo tun luma saki nul,lo ki luma enu saki sena,evluma sakiok sena,luma-li-si saki-min sena,losakiitlumasesena
349,He sees the tree in the city.,lo luma saki na kano,lo luma saki sha kano,naluma saki nim kano,luma-li saki kano-ne,losakikanoniluma
350,He will see the tree in the city tomorrow.,fila lo vek luma saki na kano,lo zo luma saki sha kano fila,orluma saki nim kano fila,luma-li-ra saki kano-ne fila,losakikanonilumarufila
351,He saw the tree in the city yesterday.,sena lo tun luma saki na kano,lo ki luma saki sha kano sena,evluma saki nim kano sena,luma-li-si saki kano-ne sena,losakikanonilumasesena
352,He sees the tree in the house.,lo luma saki na toto,lo luma saki sha toto,naluma saki nim toto,luma-li saki toto-ne,losakitotoniluma
353,He will see the tree in the house tomorrow.,fila lo vek luma saki na toto,lo zo luma saki sha toto fila,orluma saki nim toto fila,luma-li-ra saki toto-ne fila,losakitotonilumarufila
354,He saw the tree in the house yesterday.,sena lo tun luma saki na toto,lo ki luma saki sha toto sena,evluma saki nim toto sena,luma-li-si saki toto-ne sena,losakitotonilumasesena
355,He sees the trees in the city.,lo luma saki nul na kano,lo luma enu saki sha kano,naluma sakiok nim kano,luma-li saki-min kano-ne,losakiitkanoniluma
356,He will see the trees in the city tomorrow.,fila lo vek luma saki nul na kano,lo zo luma enu saki sha kano fila,orluma sakiok nim kano fila,luma-li-ra saki-min kano-ne fila,losakiitkanonilumarufila
357,He saw the trees in the city yesterday.,sena lo tun luma saki nul na kano,lo ki luma enu saki sha kano sena,evluma sakiok nim kano sena,luma-li-si saki-min kano-ne sena,losakiitkanonilumasesena
358,He sees the trees in the house.,lo luma saki nul na toto,lo luma enu saki sha toto,naluma sakiok nim toto,luma-li saki-min toto-ne,losakiittotoniluma
359,He will see the trees in the house tomorrow.,fila lo vek luma saki nul na toto,lo zo luma enu saki sha toto fila,orluma sakiok nim toto fila,luma-li-ra saki-min toto-ne fila,losakiittotonilumarufila
360,He saw the trees in the house yesterday.,sena lo tun luma saki nul na toto,lo ki luma enu saki sha toto sena,evluma sakiok nim toto sena,luma-li-si saki-min toto-ne sena,losakiittotonilumasesena
361,I am sad.,ma ge sima,ma ge sima,ma mege sima,ma sima,masimama
362,I am very sad.,ma ge po sima,ma ge po sima,ma mege posima,ma po-sima,maposimama
363,You are sad.,ta ge sima,ta ge sima,ta tige sima,ta sima,tasimata
364,You are very sad.,ta ge po sima,ta ge po sima,ta tige posima,ta po-sima,taposimata
365,He is sad.,lo ge sima,lo ge sima,lo nage sima,lo sima,losimalo
366,He is very sad.,lo ge po sima,lo ge po sima,lo nage posima,lo po-sima,loposimalo
367,The house is big.,toto ge kiwa,toto ge kiwa,toto nage kiwa,toto kiwa,totokiwalo
368,The houses are big.,toto nul ge kiwa,enu toto ge kiwa,totoum nage kiwa,toto-min kiwa,totoitkiwalo
369,The house is very big.,toto ge po kiwa,toto ge po kiwa,toto nage pokiwa,toto po-kiwa,totopokiwalo
370,The house is small.,toto ge pika,toto ge pika,toto nage pika,toto pika,totopikalo
371,The houses are small.,toto nul ge pika,enu toto ge pika,totoum nage pika,toto-min pika,totoitpikalo
372,The house is very small.,toto ge po pika,toto ge po pika,toto nage popika,toto po-pika,totopopikalo
373,The city is big.,kano ge kiwa,kano ge kiwa,kano nage kiwa,kano kiwa,kanokiwalo
374,The cities are big.,kano nul ge kiwa,enu kano ge kiwa,kanoesh nage kiwa,kano-min kiwa,kanoitkiwalo
375,The city is very big.,kano ge po kiwa,kano ge po kiwa,kano nage pokiwa,kano po-kiwa,kanopokiwalo
376,The city is small.,kano ge pika,kano ge pika,kano nage pika,kano pika,kanopikalo
377,The cities are small.,kano nul ge pika,enu kano ge pika,kanoesh nage pika,kano-min pika,kanoitpikalo
378,The city is very small.,kano ge po pika,kano ge po pika,kano nage popika,kano po-pika,kanopopikalo
379,The person is big.,mira ge kiwa,mira ge kiwa,mira nage kiwa,mira kiwa,mirakiwalo
380,The people are big.,mira nul ge kiwa,enu mira ge kiwa,miraai nage kiwa,mira-min kiwa,miraitkiwalo
381,The person is very big.,mira ge po kiwa,mira ge po kiwa,mira nage pokiwa,mira po-kiwa,mirapokiwalo
382,The person is small.,mira ge pika,mira ge pika,mira nage pika,mira pika,mirapikalo
383,The people are small.,mira nul ge pika,enu mira ge pika,miraai nage pika,mira-min pika,miraitpikalo
384,The person is very small.,mira ge po pika,mira ge po pika,mira nage popika,mira po-pika,mirapopikalo
385,The tree is big.,saki ge kiwa,saki ge kiwa,saki nage kiwa,saki kiwa,sakikiwalo
386,The trees are big.,saki nul ge kiwa,enu saki ge kiwa,sakiok nage kiwa,saki-min kiwa,sakiitkiwalo
387,The tree is very big.,saki ge po kiwa,saki ge po kiwa,saki nage pokiwa,saki po-kiwa,sakipokiwalo
388,The tree is small.,saki ge pika,saki ge pika,saki nage pika,saki pika,sakipikalo
389,The trees are small.,saki nul ge pika,enu saki ge pika,sakiok nage pika,saki-min pika,sakiitpikalo
390,The tree is very small.,saki ge po pika,saki ge po pika,saki nage popika,saki po-pika,sakipopikalo
391,I cry because I am sad.,ma naku ka ma ge sima,ma naku ka ma ge sima,menaku ka ma mege sima,naku-ka ka ma sima,manakukamasimama
392,You cry because you are sad.,ta naku ka ta ge sima,ta naku ka ta ge sima,tinaku ka ta tige sima,naku-tu ka ta sima,tanakukatasimata
393,He cries because he is sad.,lo naku ka lo ge sima,lo naku ka lo ge sima,nanaku ka lo nage sima,naku-li ka lo sima,lonakukalosimalo
